,Name,Rating,Specials,Delivery time,Cost,Coupons
102,Made of Milk,4.5,"Sweets, Ice Cream, Beverages",39 MINS,₹350 FOR TWO,50% off | Use WELCOME50
103,Ribbons and Balloons - The Cake Shop (Chandivali),4.5,"Bakery, Desserts",36 MINS,₹500 FOR TWO,50% off | Use WELCOME50
104,Haagen-Dazs,4.5,Desserts,33 MINS,₹400 FOR TWO,50% off | Use WELCOME50
105,China Valley,4.5,"Chinese, Oriental, Thai, Asian, Seafood",42 MINS,₹1100 FOR TWO,50% off | Use WELCOME50
106,Theobroma,4.5,"Bakery, Desserts",36 MINS,₹800 FOR TWO,10% off | Use SPECIALS
107,Flax - Healthy Living,4.5,"Healthy Food, Keto, Salads",42 MINS,₹800 FOR TWO,50% off | Use WELCOME50
108,Hotel Sudarshan,4.4,"South Indian, Indian, Chinese",63 MINS,₹400 FOR TWO,50% off | Use WELCOME50
109,Hotel Grand Central,4.4,"North Indian, Chinese, Seafood, Biryani, Asian, Continental, Punjabi, Tandoor, D...",65 MINS,₹600 FOR TWO,50% off | Use WELCOME50
110,Kitchen Garden by Suzette,4.4,Salads,65 MINS,₹1100 FOR TWO,50% off | Use WELCOME50
111,Grill And Chill,4.4,"Fast Food, Snacks, Beverages, Juices, Chaat, Pizzas, Continental",61 MINS,₹200 FOR TWO,50% off | Use WELCOME50
112,Baconfessions,4.4,"Italian, Continental, Snacks",62 MINS,₹400 FOR TWO,50% off | Use WELCOME50
113,TUKI,4.4,"Chinese, Asian",58 MINS,₹600 FOR TWO,50% off | Use WELCOME50
114,HARE KRISHNA,4.4,Indian,57 MINS,₹250 FOR TWO,50% off | Use WELCOME50
115,Nine Cuisine  Family Resto Bar,4.4,"Chinese, Seafood",53 MINS,₹300 FOR TWO,50% off | Use WELCOME50
116,Narayan Snack Parlour,4.4,Fast Food,58 MINS,₹150 FOR TWO,50% off | Use WELCOME50
117,Gores Misal And Family Restaurant,4.4,"Indian, Biryani, Snacks",59 MINS,₹300 FOR TWO,50% off | Use WELCOME50
118,CARTER'S BLUE,4.4,"Mughlai, North Indian, Chinese",51 MINS,₹500 FOR TWO,50% off | Use WELCOME50
119,Oasiss Cakes & IceCreams,4.4,"Ice Cream, Desserts, Bakery",46 MINS,₹150 FOR TWO,50% off | Use WELCOME50
120,Dairy Don,4.4,"Desserts, Beverages",47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
121,Tea Post,4.4,Beverages,60 MINS,₹400 FOR TWO,50% off | Use WELCOME50
122,Tender Fresh,4.4,"Ice Cream, Beverages",57 MINS,₹150 FOR TWO,50% off | Use WELCOME50
123,Laxman's Om Vada Pav,4.4,"Fast Food, Snacks",51 MINS,₹100 FOR TWO,50% off | Use WELCOME50
124,Ribbons And Balloons - The Cake Shop,4.4,Bakery,50 MINS,₹500 FOR TWO,50% off | Use WELCOME50
125,The Punjabi's Kitchen,4.4,North Indian,54 MINS,₹500 FOR TWO,50% off | Use WELCOME50
126,Balaji Hotel,4.4,"Fast Food, Indian, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
127,RASAYYA,4.4,Sweets,48 MINS,₹250 FOR TWO,50% off | Use WELCOME50
128,Om Snacks,4.4,"Pizzas, Pastas",50 MINS,₹400 FOR TWO,50% off | Use WELCOME50
129,Om Sai Ram Dolphin Frankee,4.4,Beverages,43 MINS,₹350 FOR TWO,50% off | Use WELCOME50
130,Cake Basket,4.4,Desserts,44 MINS,₹300 FOR TWO,50% off | Use WELCOME50
131,Garnish Peninsula,4.4,"North Indian, Chinese, Tandoor",54 MINS,₹500 FOR TWO,50% off | Use WELCOME50
132,Chandu Halwai,4.4,Sweets,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
133,sanjay vadapav stall,4.4,Chaat,58 MINS,₹80 FOR TWO,50% off | Use WELCOME50
134,Brijwasi Sweets,4.4,"Indian, Snacks, Sweets",43 MINS,₹200 FOR TWO,40% off | Use GUILTFREE
135,Sai Sandwich Centre,4.4,Pizzas,52 MINS,₹300 FOR TWO,50% off | Use WELCOME50
136,NEW AIRPORT RESTAURANT,4.4,"Chinese, Indian, North Indian, Tandoor, Desserts, Fast Food",50 MINS,₹450 FOR TWO,50% off | Use WELCOME50
137,Instawich - Shudh Desi Sandwiches,4.4,"Snacks, Beverages",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
138,Shubham Greens,4.4,"South Indian, North Indian, Maharashtrian, Chinese",52 MINS,₹350 FOR TWO,50% off | Use WELCOME50
139,GAONGAJALI,4.4,"Malwani, Seafood, Thalis, Indian",56 MINS,₹200 FOR TWO,50% off | Use WELCOME50
140,Lucknowee,4.4,"North Indian, Biryani, Kebabs",55 MINS,₹600 FOR TWO,50% off | Use WELCOME50
141,Jaspal Di Bhatti,4.4,"North Indian, Indian, Tandoor",58 MINS,₹400 FOR TWO,50% off | Use WELCOME50
142,Beeji Ki Rasoi,4.4,"North Indian, Indian",53 MINS,₹400 FOR TWO,50% off | Use WELCOME50
