,Name,Rating,Specials,Delivery time,Cost,Coupons
446,SHIV SAGAR VEG KITCHEN,4.0,"Fast Food, Indian, Chinese, Thalis, Desserts, Beverages",44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
447,The Combo Company,4.0,"Indian, Chinese",46 MINS,₹250 FOR TWO,50% off | Use WELCOME50
448,Ziyafat Biryani,4.0,"Biryani, North Indian",46 MINS,₹500 FOR TWO,50% off | Use WELCOME50
449,Gopi Kitchen,4.0,"South Indian, Indian, North Indian, Fast Food, Biryani, Thalis",47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
450,Cuantos Kebabs & Rolls,4.0,"North Indian, Kebabs, Snacks",49 MINS,₹350 FOR TWO,50% off | Use WELCOME50
451,Green Cravings,4.0,"Healthy Food, Continental, Keto, Indian, Salads",46 MINS,₹250 FOR TWO,50% off | Use WELCOME50
452,Bake Ur Day,4.0,"Desserts, Bakery",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
453,The Sugar Free Keto Kafe - By Artinci,4.0,"Healthy Food, Snacks, Keto, Bakery, Desserts, Beverages, Ice Cream",38 MINS,₹200 FOR TWO,50% off | Use WELCOME50
454,Marrakesh,4.0,"Lebanese, Arabian",46 MINS,₹400 FOR TWO,50% off | Use WELCOME50
455,Copper Chimney,4.0,Indian,52 MINS,₹800 FOR TWO,60% off | Use STEALDEAL
456,Canteen Central by Eatfit,4.0,"Pizzas, American, Pastas, Fast Food, Snacks, Desserts, Beverages, North Indian, ...",44 MINS,₹300 FOR TWO,50% off | Use WELCOME50
457,Wendy's,4.0,"American, Burgers, Fast Food, Beverages, Snacks",49 MINS,₹400 FOR TWO,50% off | Use WELCOME50
458,Supreme Restaurant,4.0,"Lebanese, Turkish, Arabian, Fast Food, Healthy Food, Beverages",48 MINS,₹400 FOR TWO,50% off | Use WELCOME50
459,Shiv Sagar (Sakinaka),4.0,"North Indian, South Indian, Chinese, Juices, Snacks",49 MINS,₹200 FOR TWO,25% off | Use TRYNEW
460,Home Plate by EatFit,4.0,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",42 MINS,₹160 FOR TWO,50% off | Use WELCOME50
461,The Dessert Heaven - Pure Veg,4.0,"Desserts, Bakery",50 MINS,₹200 FOR TWO,50% off | Use WELCOME50
462,KERALA Pothichoru,4.0,"South Indian, Indian",48 MINS,₹400 FOR TWO,50% off | Use WELCOME50
463,Bikkgane Biryani,4.0,"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs",45 MINS,₹400 FOR TWO,50% off | Use WELCOME50
464,Chennai Express - The Food Wagon,4.0,South Indian,46 MINS,₹350 FOR TWO,50% off | Use WELCOME50
465,Zesty Kitchen,4.0,"Indian, Seafood, Mangalorean, Thalis, Biryani, North Indian, South Indian, Benga...",46 MINS,₹500 FOR TWO,50% off | Use WELCOME50
466,Forks and Spoons (Gourmet Chinese & Thai),4.0,"Chinese, Thai, Pan-Asian, Oriental, Beverages, Desserts",45 MINS,₹300 FOR TWO,50% off | Use WELCOME50
467,Sandwich Coffee House,4.0,"American, Beverages",44 MINS,₹350 FOR TWO,50% off | Use WELCOME50
468,Itminaan Biryani - Dum Pukht,4.0,"Biryani, North Indian, Mughlai",40 MINS,₹400 FOR TWO,50% off | Use WELCOME50
469,Little Italy,4.0,Italian,45 MINS,₹850 FOR TWO,50% off | Use WELCOME50
470,"SOY N SCHEZWAN ( Chinese ,Combos & more )",4.0,"Chinese, Pan-Asian, Thai",40 MINS,₹300 FOR TWO,50% off | Use WELCOME50
471,Udupi Tiffins,4.0,South Indian,48 MINS,₹400 FOR TWO,50% off | Use WELCOME50
472,Kolkata Rolls,4.0,"Bengali, Biryani",41 MINS,₹200 FOR TWO,50% off | Use WELCOME50
473,LunchBox - Meals and Thalis,4.0,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",40 MINS,₹200 FOR TWO,50% off | Use GUILTFREE
474,Sweet Truth - Cake and Desserts,4.0,"Bakery, Desserts, Beverages",41 MINS,₹450 FOR TWO,50% off | Use WELCOME50
475,Via Calcutta,4.0,Chaat,40 MINS,₹400 FOR TWO,50% off | Use WELCOME50
476,Rolls Mania,4.0,Fast Food,36 MINS,₹200 FOR TWO,50% off | Use WELCOME50
477,The Greedyman Pizzeria,4.0,"Pizzas, Italian, Fast Food, Beverages",43 MINS,₹500 FOR TWO,50% off | Use WELCOME50
478,Malvani Touch,4.0,"Seafood, Malwani",37 MINS,₹500 FOR TWO,50% off | Use WELCOME50
479,Samosa Singh,4.0,"North Indian, Snacks, Desserts, Beverages, Street Food",48 MINS,₹150 FOR TWO,50% off | Use WELCOME50
